EFF_AGE,ACT_AGE,LND_SQFOOT,TOT_LVG_AREA,S_LEGAL,CONST_CLASS,IMP_QUAL,JV,LND_VAL,NO_BULDNG,NCONST_VAL,DEL_VAL,SPEC_FEAT_VAL,MonthDifference,SALE_PRC1,Target_Var
23,23,20850,1453,LOTS 13 TO 18 INC BLK L 4TH AD,0,3,154349,13755,1,0,0,13661,5,205000,0
18,22,10000,1330,LOT 8 BLK 266 DELTONA LAKES UN,0,3,149271,20400,1,0,0,278,3,210000,0
7,30,10000,1395,LOT 9 BLK 322 DELTONA LAKES UN,0,3,169016,21200,1,0,0,0,5,199900,0
12,20,10000,1551,LOT 9 BLK 370 DELTONA LAKES UN,0,3,167252,21200,1,0,0,142,4,186000,0
42,42,10250,1702,LOT 7 BLK 366 DELTONA LAKES UN,0,3,130450,24600,1,0,0,897,4,219900,0
16,19,12180,1785,LOT 11 BLK 389 DELTONA LAKES U,0,3,183769,21408,1,0,0,0,2,243000,0
38,47,9625,1554,LOT 6 BLK 55 DELTONA LAKES UNI,0,3,133978,24640,1,0,0,87,0,128000,1
32,42,39060,1748,LOT 10 BLK 375 DELTONA LAKES U,0,3,175249,47709,1,0,0,83,1,239900,0
19,44,10000,1402,LOT 17 BLK 292 DELTONA LAKES U,0,3,170472,20400,1,0,0,9612,5,215000,0
34,44,14416,1948,LOT 17 BLK 304 DELTONA LAKES U,0,3,182709,24449,1,0,0,779,6,215000,0
10,44,10000,1517,LOT 37 BLK 371 DELTONA LAKES U,0,3,175615,21200,1,0,0,0,7,192900,0
33,47,16470,1652,LOT 9 EXC NEW R/W FOR SAXON BL,0,3,136704,22549,1,0,0,0,0,110000,1
39,45,15125,1963,LOT 45 & E 1/2 LOT 46 BLK 317,0,3,168857,23141,1,0,0,234,0,99000,0
37,42,10000,1448,LOT 11 BLK 256 DELTONA LAKES U,0,3,156628,24800,1,0,0,13064,4,192000,0
36,44,9750,1642,LOT 12 BLK 294 DELTONA LAKES U,0,3,154009,24180,1,1132,0,1337,4,199900,0
9,35,102749,1768,TRACT BEG NE COR OF SW 1/4 RUN,4,3,194721,45962,1,42441,0,17389,7,263400,0
19,33,7643,2542,BLOOMINGDALE SECTION BB PHASE,4,3,207692,41638,1,0,0,24881,9,240000,0
16,27,16636,4024,RIVER HILLS COUNTRY CLUB PHASE,3,5,442745,85035,1,0,0,33372,6,310000,1
16,28,15443,3878,RIVER HILLS COUNTRY CLUB PHASE,3,5,428603,87078,1,0,0,39458,6,450000,0
32,60,48180,1495,E 212 FT OF N 1/2 OF S 1/2 OF,3,3,126376,37060,1,0,0,4612,0,100000,1
16,26,16694,2124,BLOOMINGDALE SECTION DD PHASE,3,3,177657,38635,1,0,0,0,3,237500,0
12,20,6654,2683,BLOOMINGDALE SECTION DD PH 3 A,3,3,213061,36364,1,0,0,0,5,188100,1
8,11,13822,2720,CHANNING PARK,3,3,262483,94061,1,0,0,0,4,296000,0
20,34,192661,2816,W 330 FT OF SW 1/4 OF SW 1/4 O,3,3,270258,133569,1,0,0,893,2,288500,0
8,16,9417,3270,FISHHAWK RANCH PHASE 2 PARCEL,3,3,289742,67016,1,0,0,0,2,365000,0
12,20,7381,2265,FISHHAWK RANCH PHASE 1 UNIT 1B,3,3,203420,40197,1,0,0,20141,3,279000,0
10,16,5850,3074,FISHHAWK RANCH TOWNCENTER PHAS,3,3,255431,48672,1,0,0,0,3,349900,0
12,20,4600,1541,FISHHAWK RANCH PHASE 2 PARCEL,3,3,140791,35684,1,0,0,0,0,175000,0
12,20,6191,1732,FISHHAWK RANCH PHASE 2 PARCEL,3,3,179065,42148,1,0,0,22224,9,224000,0
27,27,9365,2281,THE GLADES,0,4,184216,45494,1,0,0,4813,-6,252000,0
27,27,10849,2696,THE GLADES,0,4,313585,79000,1,0,0,10362,4,369000,0
19,19,14730,2877,THE GLADES,0,4,363292,79000,1,0,0,9305,0,193500,1
8,33,8929,1478,32 2S 17W  -49.5-  5D4,0,4,154251,32580,1,0,0,937,0,210000,0
61,61,6490,817,LAGUNA BEACH 5TH ADD,0,4,158575,130000,1,0,0,0,1,130000,0
11,26,7701,2090,SUMMER BREEZE PHASE I  21A1,0,5,338524,44045,1,0,0,11916,3,412500,0
82,82,0,954,29 6S 22,0,3,34704,8500,1,294,0,0,-2,20700,1
42,82,0,825,29 6S 22,0,3,36554,12000,1,820,0,635,-8,40000,1
37,46,0,1201,33 6S 22,0,3,56692,9000,1,0,0,0,4,60000,1
72,72,0,1434,33 6S 22,0,3,38071,14000,1,0,0,0,2,37500,0
27,75,0,1388,34 6S 22,0,3,94237,15250,1,12366,352,1504,7,137000,0
27,72,0,1455,35 6S 22,0,3,102252,19000,1,7791,0,683,4,144900,0
14,14,422532,994,5 7S 22,0,2,64444,44450,1,0,0,2052,0,35000,0
17,30,43560,1625,10 7S 22,0,3,110243,14000,1,7239,0,0,4,136500,0
47,47,0,1265,10 7S 22,0,3,80212,59000,1,0,0,1564,4,64600,1
37,65,20038,2306,"SCOTTSMOOR LOTS 24,25,26 BLK 6",3,1,79260,16500,1,6780,0,0,3,66000,0
15,63,6534,794,SUBD OF W 1/2 OF NW 1/4 OF SW,4,1,31620,2320,1,710,0,0,4,61500,0
27,49,20473,2046,S 147.5 FT OF E 147.5 FT OF NW,3,3,86400,6930,1,0,1911,0,0,90000,1
22,37,14810,1404,PART OF NW 1/4 OF NW 1/4 AS DE,3,1,50320,6590,1,0,0,0,0,27500,1
17,56,9148,1896,LA GRANGE ACRES 1ST ADDN LOT 1,3,2,136470,36000,1,1780,0,0,3,164900,0
17,56,8276,1884,COUNTRY ESTATES UNIT 1 LOT 4 E,3,2,139910,40000,1,70,0,0,4,178500,0
17,56,13068,2016,COUNTRY ESTATES UNIT 2 LOT 7 B,3,2,143800,40000,1,0,0,0,2,175000,0
32,52,7405,1285,LAURELL PARK ESTATES REPLAT LO,3,2,81890,40000,1,0,0,0,3,140000,0
14,46,7405,1680,BONNYMEDE ESTATES UNIT NO 1 LO,3,2,131650,40000,1,3550,0,0,4,162900,0
17,35,2178,2226,TITUS WOODS LOT  2 BLK 7,4,3,112070,10000,1,0,0,0,0,88000,1
37,64,7841,1635,PINEWOOD VILLAS LOT 12 BLK A,3,2,80780,28000,1,0,0,0,4,106000,0
32,60,8276,1732,WHITE ACRES SUBD REPLAT LOT 7,3,2,85360,28000,1,0,100,0,4,80000,0
17,42,8276,1644,GROVE PARK LOT 4  BLK A,3,3,131930,32000,1,0,348,0,5,175000,0
17,34,3049,2012,"SPRINGTREE UNIT 3, A CORRECTIV",3,2,82900,5000,1,0,0,0,4,98200,0
32,58,3920,816,CIRCLE PARK S 35.29 FT OF LOT,3,1,31320,7000,1,0,0,0,0,43000,1
32,58,2614,1046,CIRCLE PARK S 24.08 FT OF N 13,3,1,34720,7000,1,0,0,0,0,43000,1
17,56,7405,1886,LUNA HEIGHTS LOT 9 BLK 8,3,2,132880,40000,1,820,0,0,7,170000,0
32,61,8276,1901,GARDENDALE UNIT 1 LOT 4 BLK 1,4,2,101520,39000,1,0,0,0,5,50000,0
26,57,9148,1944,GARDENDALE UNIT 6 LOT 170,3,2,120550,40000,1,0,0,0,0,98000,1
37,64,8712,1552,SOUTH LAKE VILLAGE SEC 1 LOT 3,3,2,75460,35000,1,0,0,0,1,84900,0
7,11,15246,1650,SUBD OF E 1/2 OF NE 1/4 LOT 6,3,3,131380,12950,1,0,0,0,0,74000,0
17,41,10019,1789,BAKERS UNIT 2 LOT 7  BLK 4,4,3,140380,27000,1,0,0,0,-7,173300,0
17,36,12197,1672,"READ & ALLENS SUBD LOTS 23,24",4,2,112020,6880,1,0,0,0,5,163000,0
17,24,44431,1999,PART OF S 1/2 OF NE 1/4 AS DES,3,3,152810,31500,1,0,0,0,4,230000,0
21,38,1742,768,ROCK PIT ROAD TOWNHOUSES LOT 4,3,2,45620,3600,1,0,0,0,7,52000,0
17,62,8276,1980,COUNTRY CLUB HEIGHTS 1ST ADDN,3,2,146340,37000,1,4370,0,0,4,179000,0
22,35,4356,2828,TITUSVILLAGE SEC III LOT 12,3,3,134170,29000,1,0,0,0,0,100000,1
27,56,7841,1435,MOCKINGBIRD HILL UNIT 4 LOT 7,3,2,92620,30000,1,0,0,0,4,179000,0
15,35,6970,1434,BARNA PLACE E 56.49 FT OF LOT,4,3,106420,20000,1,510,0,0,2,130000,0
22,43,1742,1328,TENNIS VILLAGE SEC 1 LOT 1C,3,2,91520,31000,1,200,0,0,2,114000,0
17,56,10019,2288,WHISPERING HILLS COUNTRY CLUB,3,2,159580,35000,1,850,0,0,7,184500,0
12,63,9583,2142,COUNTRY CLUB HILLS E 35 FT OF,3,2,163630,35000,1,4230,0,0,0,85000,1
32,53,9148,1380,WHISPERING HILLS COUNTRY CLUB,3,2,92670,30000,1,0,0,0,0,25000,1
17,64,11326,1575,GOLFVIEW ESTATES LOT 14 BLK B,3,2,113080,35000,1,0,1020,0,5,153000,0
37,58,10890,1340,LAKEFRONT ESTATES LOT 15 BLK 1,3,2,75510,35000,1,0,0,0,0,88000,1
27,43,9148,2035,DELESPINE COURTS LOTS 3 & W 1/,3,2,119450,23000,1,0,0,0,2,140000,0
14,63,9148,1376,DELESPINE COURTS REPLAT LOT 21,3,2,109590,23000,1,0,0,0,5,159000,0
32,63,9148,1176,DELESPINE COURTS REPLAT LOT 14,3,2,78660,23000,1,0,0,0,2,95000,0
37,60,11326,1220,INDIAN RIVER SHORES SEC A LOTS,3,2,72060,32000,1,0,0,0,2,84000,0
32,64,6534,1492,"ALHAMBRA VILLAS, REPLAT OF PT",3,2,88570,34000,1,0,0,0,0,77500,1
27,53,10890,2138,COLONIAL HEIGHTS ADDN NO 2 LOT,3,2,119470,28050,1,50,0,0,4,186500,0
37,63,7841,1983,PALM COURTS 2ND ADDN LOT 47,3,2,84460,34000,1,0,0,0,3,85500,0
12,18,5663,2590,PLANTATION OAKS OF BREVARD PHA,3,3,166730,17000,1,0,0,0,-7,190000,0
32,58,7405,1512,COLONIAL HEIGHTS ADDN NO 1 LOT,3,2,76400,25500,1,0,0,0,5,159900,0
24,34,14375,3725,HICKORY LAKE LOT 8 BLK 3,4,3,240260,50000,1,0,0,0,1,200000,0
17,44,7841,2130,OAKDALE SEC 3 LOT 14 BLK 5,3,3,172780,39000,1,80,0,0,3,219900,0
17,47,10019,2156,OAKDALE SEC 3 LOT 4  BLK 5,3,3,179510,39000,1,13740,745,0,2,114800,0
27,57,15246,2298,ROYAL OAK GOLF & COUNTRY CLUB,3,3,166640,46000,1,0,0,0,5,225000,0
17,56,8276,1922,ROYAL OAK GOLF & COUNTRY CLUB,3,3,165040,38000,1,0,0,0,3,192000,0
22,38,10019,1868,ROYAL OAK GOLF & COUNTRY CLUB,4,3,159240,38000,1,0,0,0,10,206000,1
32,56,14810,1575,ROYAL OAK GOLF & COUNTRY CLUB,3,3,111370,38000,1,0,0,0,4,130000,0
22,62,7841,1264,INDIAN RIVER HEIGHTS UNIT 4 LO,3,2,110120,36000,1,0,0,0,5,142500,0
28,28,7473,1760,SOUTH POINTE UNIT 4 25/28 LOT,3,2,161879,33000,1,1000,0,1000,3,182000,0
35,35,8716,1543,SOUTH POINTE UNIT 2 16/66 LOT,3,2,148979,33000,1,0,0,12716,7,230000,0
30,70,16985,1067,SOUTH FLORIDA SHORES S/51 LOT,3,3,130254,35000,1,5000,0,5250,5,177000,0
52,64,10124,1295,ORANGE BLOSSOM TERRACE FIRST A,3,3,108164,33000,1,0,0,2500,0,90000,1
62,65,8891,1232,CASTLE VILLA V/70 LOT 3,3,3,75595,30000,1,0,0,0,1,130000,0
35,35,10126,1268,ORANGE BLOSSOM TERRACE FIRST A,4,3,132065,33000,1,0,0,1300,6,175000,0
52,67,14665,1235,PLAN OF BLK 1 PROSPER COLONY D,3,3,108766,33000,1,0,0,3000,2,90000,0
62,65,8832,1960,CASTLE VILLA V/70 LOT 19 (LESS,3,3,97027,30000,1,0,0,2550,0,120000,1
49,49,10347,1404,ORANGE BLOSSOM TERRACE FIRST A,3,3,122812,33000,1,0,0,5500,5,130000,0
22,22,5510,2472,LAKE GLORIA PRESERVE PHASE 2B,3,2,228677,35000,1,0,0,1000,4,246700,0
52,63,10131,1294,ORANGE BLOSSOM TERRACE R/144 L,3,3,114869,33000,1,0,0,2000,4,156000,0
17,17,6014,2119,LAKE GLORIA SHORES 55/13 LOT 6,3,3,205733,25000,1,0,0,0,7,243500,0
52,69,10131,2134,ORANGE BLOSSOM TERRACE R/144 L,3,3,164518,33000,1,0,0,1000,4,125100,0
52,68,10131,1134,ORANGE BLOSSOM TERRACE R/144 L,3,3,98400,33000,1,0,0,1770,9,209000,0
49,49,7495,1968,BONNIE BROOK UNIT 1 2/122 LOT,3,2,146994,35000,1,0,0,2000,1,155000,0
54,54,9413,1722,OAK HILL MANOR 2/39 LOT 38,3,3,132929,33000,1,0,0,2500,6,242600,0
49,49,8494,1944,BONNIE BROOK UNIT 1 2/122 LOT,3,2,149128,35000,1,0,0,5475,3,217500,0
52,67,10131,1017,ORANGE BLOSSOM TERRACE R/144 L,3,3,93505,33000,1,0,0,3440,5,175000,0
50,50,15571,1952,ALANDALE SUB S/133 LOT 13,3,3,151522,35000,1,0,0,1500,1,168500,0
62,63,15346,1563,ELMERS ADDITION V/61 LOT 93 (L,3,3,92944,30000,1,0,0,5100,4,160200,0
25,25,8904,1409,J A WILKS SUB F/79 LOT 17,3,3,175125,57000,1,0,0,2000,2,224000,1
44,49,8227,1397,GRAHAM GARDENS V/128 LOT 6 BLK,3,3,162395,65000,1,0,0,2000,1,218000,0
50,50,7672,1695,BONNIE BROOK UNIT 1 2/122 LOT,3,2,125979,35000,1,0,0,0,0,132000,1
62,65,14698,1457,ELMERS ADDITION V/61 LOT 115 S,3,3,83154,35000,1,0,0,2400,5,195000,0
47,53,5100,1271,BEACON SQUARE UNIT 11-B PB 9 P,0,3,83700,10200,1,0,0,54,6,130500,0
50,50,5100,1378,BEACON SQUARE UNIT 21-A PB 10,0,3,90203,10200,1,0,0,1461,3,122000,0
50,50,5100,1112,BEACON SQUARE UNIT 21-A PB 10,0,3,73390,10200,1,0,0,412,6,120000,0
54,54,5239,1206,BEACON SQUARE 10A MB9-63 LOT 1,0,3,70536,10478,1,0,0,248,0,43000,1
48,48,8881,1436,BEACON SQ UNIT 21 C 1ST ADD MB,0,3,107383,12807,1,0,0,8921,2,106900,0
39,39,7820,2046,FAIRWAY SPRINGS UNIT 3 PB 21 P,0,4,189392,24503,1,0,0,782,5,240000,0
47,54,5950,1148,BEACON SQUARE UNIT 10-A PB 9 P,0,3,82634,11900,1,0,0,736,0,69300,1
53,53,5100,1126,BEACON SQUARE UNIT 11-C PB 9 P,0,3,70427,10200,1,0,0,107,0,69000,1
47,52,5100,1140,BEACON SQUARE UNIT 14-B PB 9 P,0,3,79134,10200,1,0,0,745,4,128000,0
50,54,6090,1421,BEACON SQUARE 10A PB 9 PG 63 L,0,3,93444,12025,1,0,0,426,3,80000,0
53,53,5100,1506,BEACON SQUARE UNIT 11-C PB 9 P,0,3,92685,10200,1,0,0,1305,4,134100,0
53,53,5100,1320,BEACON SQUARE UNIT 11-C PB 9 P,0,3,80412,10200,1,0,0,411,4,122500,0
52,52,5440,1188,BEACON SQUARE UNIT 14-C PB 9 P,0,3,81732,10880,1,0,0,6383,3,168600,0
49,49,5100,1637,BEACON SQUARE UNIT 22 PB 11 PG,0,3,107081,10200,1,0,0,3222,1,170000,0
43,43,22490,2424,ISLAND GROVE ADDITION TO LAKE,0,4,229811,43622,1,0,0,2711,4,171200,0
54,54,5544,1020,BEACON SQUARE 10A PB 9 PG 63 L,0,3,60745,11088,1,0,0,99,0,50000,1
54,54,5340,1467,BEACON SQUARE UNIT 10-A PB 9 P,0,3,87722,10680,1,0,0,739,1,80000,0
47,50,5950,1987,BEACON SQUARE UNIT 21-B PB 11,0,3,134635,11900,1,0,0,428,3,178000,0
48,48,5100,1846,BEACON SQUARE UNIT 22 PB 11 PG,0,3,121951,10200,1,0,0,593,4,176000,0
52,52,5544,1319,BEACON SQUARE UNIT 14-C PB 9 P,0,3,83239,11088,1,0,0,573,5,149900,0
15,15,5950,1844,BEACON SQUARE UNIT 22 PB 11 PG,0,3,164951,20528,1,0,0,1432,4,180000,0
6,6,10265,3577,CONNERTON VILLAGE TWO PARCEL 2,0,3,344321,40619,1,0,0,1382,1,395000,1
16,16,7277,2211,HIGHLANDS PHASE ONE PB 51 PG 0,0,3,176629,20362,1,0,0,1071,2,176100,0
29,29,16926,2819,FAIRWAY OAKS UNIT FIVE PB 29 P,0,3,227248,31485,1,0,0,8453,0,70000,1
17,17,5500,2226,HIGHLANDS PHASE ONE PB 51 PG 0,0,3,173433,17050,1,0,0,1606,0,150000,1
50,50,10125,1201,BASS LAKE ACRES R/P PB 6 PG 78,0,4,79578,8910,1,0,0,658,6,136000,0
25,25,11732,2875,FAIRWAY OAKS UNIT SIX PB 30 PG,0,3,224378,31745,1,0,0,7819,3,315000,0
14,14,16070,1735,HIGHLAND RIDGE PB 60 PG 054 LO,0,3,120403,22900,1,0,0,1719,0,141400,1
8,8,6655,2083,CONNERTON VILLAGE TWO PARCEL 2,0,3,197496,32942,1,0,0,1277,3,254000,1
33,33,10469,1935,FAIRWAY OAKS UNIT ONE-B PB 27,0,3,156556,27159,1,0,0,714,2,149000,0
65,65,16500,1666,BASS LAKE ESTATES 1ST SECTION,0,4,83236,14850,1,0,0,1621,5,158000,0
43,43,16232,1378,BASS LAKE ESTATES FIRST ADDN P,0,4,69680,12454,1,0,0,2632,2,55000,0
48,48,39000,2026,HIGHLAND ESTS B 6 PG 55 LOTS 3,0,2,100986,27300,1,0,0,1928,6,185000,0
31,31,11050,2486,FAIRWAY OAKS UNIT THREE-A PB 2,0,3,205599,31289,1,0,0,12668,2,299900,0
10,10,12707,3720,SEVEN OAKS PARCEL S-2 PB 64 PG,0,4,463828,78314,1,0,0,19216,1,495000,1
14,14,6600,2384,HIGHLANDS PHASE TWO PB 61 PG 1,0,3,197134,26070,1,0,0,2741,9,204500,0
10,10,11099,3872,SEVEN OAKS PARCEL S-2 PB 64 PG,0,4,480257,77076,1,0,0,21916,3,550000,1
33,33,7476,1537,NATURES HIDEAWAY PHASE III PB,0,4,177326,32764,1,0,0,8951,3,217000,1
17,17,6835,2574,TRINITY WEST PB 45 PG 135 LOT,0,4,268792,44525,1,0,0,13126,3,323900,0
16,16,11328,3528,ASHLEY LAKES PHASE 1 PB 48 PG,0,3,337232,28385,1,0,0,17232,0,348000,0
26,61,6961,1206,ORANGE BLOSSOM,3,3,186924,85792,1,0,0,0,4,234500,0
47,65,5998,1064,SEMINOLE GARDENS,3,2,108409,71618,1,0,0,780,0,125000,0
32,66,5998,1027,SEMINOLE GARDENS,3,2,132944,72153,1,0,0,0,6,194000,0
39,69,6408,2335,SEMINOLE RIDGE SUB,3,2,170343,78937,1,0,0,0,1,194000,0
38,62,7000,1188,ORANGE BLOSSOM,3,3,150794,84757,1,0,0,2216,2,103800,0
32,67,6386,1118,SEMINOLE RIDGE 1ST ADD,3,2,140576,76607,1,0,0,0,5,184900,0
26,65,7501,1340,ORANGE BLOSSOM,3,3,207974,91255,1,0,0,11246,2,250000,0
53,63,5998,791,SEMINOLE GARDENS,3,2,96392,71472,1,0,0,0,4,154500,0
22,45,8259,1409,SUN GLOW SUB,3,3,205682,89115,1,0,0,1802,4,249900,0
39,48,7222,1536,TOWN AND COUNTRY ESTATES,3,3,175999,87353,1,0,0,11683,0,175200,1
21,51,7349,1795,TOWN AND COUNTRY ESTATES,3,3,271334,107085,1,0,0,15458,3,349900,0
32,50,7575,1684,DEL PRADO IMPERIAL UNIT 2,3,3,229345,112006,1,0,0,18202,1,280000,0
21,47,6991,1366,ORANGEWOOD HIGHLANDS,3,3,247771,115015,1,0,0,17160,2,190000,0
19,43,10515,2012,ORANGEWOOD HIGHLANDS,3,3,309699,118686,1,0,0,12468,5,376000,0
37,42,8028,1890,SEMINOLE GROVE ESTATES,3,3,198886,90748,1,0,0,0,9,204900,0
36,36,15381,2182,CIMARRON SUB,3,3,232039,135317,1,0,29188,12360,2,250000,0
21,46,6599,1653,ORANGEWOOD HIGHLANDS,3,3,255428,105862,1,0,0,12000,5,330000,0
33,50,8372,1803,DEL PRADO IMPERIAL UNIT 2,3,3,224742,116964,1,0,0,648,4,315000,0
42,54,10136,1944,BAY HILLS SUB 1ST ADD,3,3,223385,125535,1,3717,0,15244,2,379900,0
37,42,11199,2671,CENTURY OAKS,3,3,284851,129606,1,0,0,17113,3,330100,0
26,69,8965,1179,BAYVIEW ESTATES,3,3,191256,96332,1,0,0,0,5,250000,0
21,39,5205,1469,TIMBERLANE SUBDIVISION UNIT NO,3,3,161931,33430,1,0,0,0,3,223000,0
14,38,10929,1539,TIMBERLANE SUBDIVISION UNIT NO,3,3,200504,34598,1,12277,0,14484,4,225000,0
13,37,4746,1316,TIMBERLANE SUBDIVISION UNIT NO,3,3,169599,27966,1,26513,0,572,4,225000,0
12,32,4422,1196,TIMBERLANE SUBDIVISION UNIT NO,3,3,171802,25816,1,25606,0,538,4,205000,0
20,36,4776,1752,TIMBERLANE SUBDIVISION UNIT NO,3,3,184104,30033,1,0,0,2101,4,166000,0
18,34,4882,1386,TIMBERLANE SUBDIVISION UNIT NO,3,3,155930,29028,1,0,0,0,5,200000,0
18,34,4799,1131,TIMBERLANE SUBDIVISION UNIT NO,3,3,133201,30502,1,0,0,0,2,137500,0
19,35,4023,1252,TIMBERLANE SUBDIVISION UNIT NO,3,3,139745,25816,1,0,0,0,3,185000,0
21,63,7042,650,SUNRAY ESTATES UNIT NO 1,3,3,104499,40320,1,28362,0,633,5,157000,0
22,40,4941,1145,TIMBERLANE SUBDIVISION UNIT NO,3,3,137050,29250,1,0,0,5800,7,144000,0
14,40,7961,995,TIMBERLANE SUBDIVISION UNIT NO,3,3,136705,29250,1,25851,0,0,4,200000,0
19,56,7890,1664,GOLFWOOD ESTATES UNIT NO 04,3,3,227077,39200,1,27397,0,463,5,242000,0
33,63,7380,2490,ROCKY POINT VILLAGE UNIT NO 2,3,3,239422,36902,1,81049,0,0,3,240000,0
